text,label
Wow people can be so wrong (created at:2012-02-28 01:12:15),non-cyberbullying
What an asshat. (created at:2012-02-28 01:14:07),non-cyberbullying
Open hAnd slap. (created at:2012-02-28 01:16:39),non-cyberbullying
Fuckin people (created at:2012-02-28 01:23:16),non-cyberbullying
"Fire that fuck, thieves never stop. Open hand slap for sure. (created at:2012-02-28 01:24:46)",non-cyberbullying
Chin check !. (created at:2012-02-28 01:25:39),non-cyberbullying
You'll have your own place away from this twat thief in no time!! (created at:2012-02-28 01:39:50),non-cyberbullying
Kick his ass seabass! (created at:2012-02-28 01:54:11),non-cyberbullying
Dang. That sucks. At least you got em back. (created at:2012-02-28 02:02:54),non-cyberbullying
Fucking pigs ...!!! (created at:2012-02-28 02:48:43),non-cyberbullying
Lol been there man call him a bitch and keep trucking bro (created at:2012-02-28 02:54:15),non-cyberbullying
Coward (created at:2012-02-28 03:11:13),non-cyberbullying
Are those from nikko's line of inks? (created at:2012-02-28 04:40:31),non-cyberbullying
@statuekain no but the new @nikkohurtado color set is awesome. (created at:2012-02-28 06:25:19),non-cyberbullying
Shady ass pricks... Had the same problem at 1 shop I was... It went far as my machines purposely tuned bad (created at:2012-02-29 05:47:22),non-cyberbullying
Brush ur shoulder off main!! (created at:2012-02-29 21:22:58),non-cyberbullying
Dirty (created at:2013-10-12 20:33:59),non-cyberbullying
Aww so cute (created at:2012-03-11 16:25:46),non-cyberbullying
Who's lil cutie is this? (created at:2012-03-11 16:28:30),non-cyberbullying
@chelseahouska Megan's baby?!!!!? (created at:2012-03-11 16:28:46),non-cyberbullying
"Aww,so amazing (created at:2012-03-11 16:31:34)",non-cyberbullying
She is sooooo cute !!!! (created at:2012-03-11 16:31:42),non-cyberbullying
Cute (created at:2012-03-11 16:32:44),non-cyberbullying
lovely... :) _†__ (created at:2012-03-11 16:33:41),non-cyberbullying
@alyssaclaire11 @thuggishbuggish it's her niece (created at:2012-03-11 16:34:39),non-cyberbullying
@ericacer good to know (created at:2012-03-11 16:36:54),non-cyberbullying
Awwww so precious congrats (created at:2012-03-11 16:38:07),non-cyberbullying
Aww I miss this!! (created at:2012-03-11 16:43:27),non-cyberbullying
Cute...(: (created at:2012-03-11 16:45:03),non-cyberbullying
(8 (created at:2012-03-11 16:45:07),non-cyberbullying
Omg SO CUTE!!!! Who is this (created at:2012-03-11 17:00:51),non-cyberbullying
My daughter is touching the picture And smiling haha she loves babies __Šâ__”¥_ (created at:2012-03-11 17:01:33),non-cyberbullying
Aww (created at:2012-03-11 22:22:36),non-cyberbullying
"@me0hmaya It is possible that it is breast milk but in a bottle, just sayin :) (created at:2012-03-12 00:14:21)",non-cyberbullying
Some people can't breast feed. They don't produce milk. My mom was one of those people. So many that was the issue. Never assume ! (created at:2012-03-12 12:06:40),non-cyberbullying
That could also be pumped breast milk . (created at:2012-03-12 12:07:33),non-cyberbullying
soooo cute (created at:2012-03-12 12:35:46),non-cyberbullying
"@me0hmaya FYI some mothers can't produce enough milk like me, you can't control that my baby is perfectly fine. Also babies CAN be allergic to a mothers milk so before you call people lazy for formula feeding maybe you should know their reasonings. Try getting off google and pick up a book. (created at:2012-03-13 18:05:05)",non-cyberbullying
@me0hmaya good one (created at:2012-03-14 18:46:27),non-cyberbullying
@me0hmaya love the picture of weed on your page..you smoke around your kids? you're a regular mother-of-the-fuckin-year. take your crazy over to a anti formula breast feeding forum where it belongs. (created at:2012-03-16 14:13:40),non-cyberbullying
___¢your all lame asses (created at:2012-03-16 15:03:53),cyberbullying
@me0hmaya nah I'm good bitch. (created at:2012-03-18 11:06:08),non-cyberbullying
Y'all are stupid (created at:2012-04-01 16:26:28),cyberbullying
@me0hmaya I was thinking the SAME thing ! It's so sad how no one ever breastfeeds anymore (created at:2012-04-04 00:04:07),non-cyberbullying
"How do these people know there isn't breast milk in the bottle!?! For all you know it very well could be, stop fucking judging! (created at:2012-04-12 03:51:45)",non-cyberbullying
@me0hmaya not every baby can have breast milk . (created at:2012-04-16 23:42:20),non-cyberbullying
@me0hmaya you're so right. I breast feed my kid that's 10 months old still. Girls just look for excuses all the time. Breast milk is the best way to avoid your child from getting sick all the time. My baby girl hasn't had a fever not even once ever since she was born. (created at:2012-04-19 21:05:10),non-cyberbullying
"Blah, blah, blah. Shut up & stop trying to tell everyone how to raise their kids. I had a baby & physically COULDNT breast feed no matter how much i wanted to. You never know someones story, so it's better to butt out & not follow these people if you have nothing better to do than to point out every negative. Someone's a hater. Lol. (created at:2012-04-22 19:20:39)",non-cyberbullying
Who cares? (created at:2012-05-07 18:26:03),non-cyberbullying
Who cares? Some people don't breast for various reasons and some people find it gross to have something suck on their tit. Like fucking chill it's not your kid... (created at:2012-05-07 23:34:17),non-cyberbullying
@leannafarhat my sister is a mom and is prescribed medical marijuana for her stage four cancer so stfu. (created at:2012-05-07 23:37:31),non-cyberbullying
Who cares? Some people don't breast for various reasons and some people find it gross to have something suck on their tit. Like fucking chill it's not your kid... (created at:2012-05-07 23:37:41),non-cyberbullying
"maybe she wasn't breast feeding... because that's not her child.. & she can't do that with someone else's? I'm pretty sure Chelsea doesn't want this kind of drama on her instagram. mind your business. if you don't like it, who cares. (created at:2012-05-22 04:10:38)",non-cyberbullying
"Is this her baby? cause if it isnt, why the hell would you feed from your booob? @me0hmya (created at:2012-06-04 21:31:28)",non-cyberbullying
"I agree with @krystalyesmina nothing pos to say, dont say it (created at:2012-06-04 21:33:23)",non-cyberbullying
"no that makes me mad... you literally can't feed someone else's baby, your breast milk.. & besides, Aubrey is too old for it anymore. you're really, like omg really stupid since you said the stuff you did. @me0hmaya & thank you @jessica_alaina (created at:2012-06-04 21:36:27)",non-cyberbullying
I can't believe you were stupid enough to say all that shit. @me0hmaya (created at:2012-06-04 22:52:13),cyberbullying
"first of all, most parents don't like people sharing milk.. they can do whatever the fuck they want. yes breast milk is. but don't judge them if they don't want to. ctfu. you're stupid. goodbye. @maxlucia (created at:2012-06-05 00:18:24)",non-cyberbullying
"aweee, she's so cuteeeee____ but lol @ all the dumb ass chicks talking hot on your page. instagram isn't a place for your opinions, take them elsewhere __”¥__Š¥__¥__ (created at:2012-06-09 00:08:12)",non-cyberbullying
shit****___¥ (created at:2012-06-09 00:08:38),cyberbullying
"Wow you lady's need to keep your drama to yourself , unless your a mom with young kids, and are a nurse. With the proper information on all this , you really don't have the right to say anything about nursing a baby , so move on with your life and stop talking about others , when you talk like you are it does not say much about yourself so awesome job !!!! Way to go !!!! ___¥___¥ (created at:2012-06-17 04:44:39)",non-cyberbullying
"Actually, you can feed someone else's baby with your own breast milk. You gals need to get it together. It's called wet nursing and milk sharing. (created at:2012-09-05 02:25:25)",non-cyberbullying
Who cares the baby is hungry & she's eating sob story OVER (created at:2012-09-07 12:13:11),non-cyberbullying
I just Like the picture (created at:2012-10-14 16:25:24),non-cyberbullying
"How do you know that's not breast milk in the bottle?! & who cares anyways, it's up to the parents whether or not they want to breast feed or use formula. (created at:2012-11-21 18:01:27)",non-cyberbullying
Awwww (created at:2013-02-21 00:43:07),non-cyberbullying
"Who ever thinks formula and breast milk are practically the same needs to go look at the ingredient list on the back of a formula can. Breast milk>>>> formula if you CAN nurse. Women shouldn't be judged, but breast is best!! (created at:2013-03-14 21:10:19)",non-cyberbullying
@me0hmaya a lot of baby's will not latch on in order to be breadtfed (created at:2013-04-27 19:10:42),non-cyberbullying
I had patience when my son was born early and he wouldn't latch (created at:2013-04-27 19:56:44),non-cyberbullying
"@me0hmaya alot of babies won't latch my daughter did good for the first couple days in the hospital but would not so well after that , the hospital ended up giving me a breast pump , so as @babygirl01012 said alot of babies won't latch , every baby is different (created at:2013-04-28 05:04:35)",non-cyberbullying
"@jknap24 yes, when I was little I WOULD NOT drink my formula (created at:2013-09-12 02:31:44)",non-cyberbullying
"@christiek33 No it's not...... Your wrong, my dads a nurse AND its common sense (created at:2013-09-12 02:33:04)",non-cyberbullying
@me0hmaya my mom and I are loling so hard right now over this!!! (created at:2013-10-04 21:47:07),non-cyberbullying
@me0hmaya my mom and I are loling so hard right now over this!!! (created at:2013-10-04 21:47:24),non-cyberbullying
@me0hmaya who would have thought formula brought us together #FUCKFORMULA #BREASTISALWAYSBEST (created at:2013-10-04 21:47:35),non-cyberbullying
@me0hmaya I'm dying so white trash. She doesn't have facts right #bitchknowyourshit (created at:2013-10-04 21:59:47),cyberbullying
@me0hmaya we are bad moms (created at:2013-11-01 02:17:18),non-cyberbullying
Lololol I @me0hmaya (created at:2013-11-01 02:17:23),non-cyberbullying
@me0hmaya @ziahsmama I breast feed! Breast is best. Even the formula companies put it on their cans. Anyone who thinks otherwise is looking for an excuse to feel okay with the choices that they made. (created at:2014-03-18 14:31:40),non-cyberbullying
Gosh why the hell is everyone so freaking judgemental! Just because you didn't succeed in breastfeeding does not make someone a bad mom. Some babies have a very difficult time latching on and others latch right away. When my daughter was born she had such a hard time latching on that when she finally managed to latch she would fall right asleep. I tried and tried and had lots of patience but as a mother I just knew she was not getting nearly enough to thrive and grow. I breastfeed for only 3 days but had to supplement with formula also because I became so engorged it was impossible for her to latch on the breast was too hard. When my daughter was 3 weeks old all 5 people in my house got sick with the flu except my daughter and myself. It's true breast is best but sometimes it just doesn't work out for some like it does for others. So screw all u girls who think mothers who formula feed are less then mothers who breastfeed that's just ridiculous. (created at:2014-04-28 16:02:24),non-cyberbullying
@jennijewfro we'll good for you do you want a medal???! Some women can't breast feed so remember that!!!!! (created at:2014-05-07 17:46:38),non-cyberbullying
@kendlelee there is always a way. (created at:2014-05-07 17:55:14),non-cyberbullying
"@jennijewfro um not always. My sister couldn't breast feed with eaither child because she didn't make enough milk no matter what she tried. It was the same with both of my sisters. Our mom was the same way, none of us kids (4) could breast feed because she didn't make enough. Just because you breast feed doesn't mean everyone can. (created at:2014-07-07 01:31:03)",non-cyberbullying
So Nice^^:) (created at:2012-04-04 08:01:47),non-cyberbullying
It's funny how everyone wants to bring up Trayvons past. What about Zimmerman? Did you know he has a previous record for abuse? Did you know he was arrested for assaulting a POLICE OFFICER? And there is plenty more where that came from. Look it up. Did you know he called the police 31 times last year the majority of then being black? @teacudi (created at:2012-04-04 08:04:15),non-cyberbullying
@jojo1192 are u fucking kidding me? U can't preach anything speaking to people the way you do. Just because you don't agree doesn't give you the right to be a douche. @rayeemerson I wasn't there and neither were you so you need to stop assuming like you know what happened there. (created at:2012-04-04 08:04:45),non-cyberbullying
Well in the country I live in.. you are innocent until proven guilty.. Not guilty until proven innocent.. Wow.. some people think they just know it all.. (created at:2012-04-04 08:06:40),non-cyberbullying
Ugh the ignorance in this country is disgusting!!! (created at:2012-04-04 08:13:05),non-cyberbullying
This country is so racist but claims not to be! facts people it's not about black Mexican white Asian it's about facts!! (created at:2012-04-04 08:14:21),non-cyberbullying
@teacudi I'm not saying he's racist though. I think there was something mentally wrong with him. I'm mean 31 times that's freaking crazy. (created at:2012-04-04 08:14:36),non-cyberbullying
@prettychicity this is really bringing out the racism in both the whites and blacks. I hate to say it but even more so in the blacks. They're using this as an excuse to tear into whites using racism to combat racism. Its sad. (created at:2012-04-04 08:17:45),non-cyberbullying
@runl1keh3ll I'm not assuming Anything. I'm just telling you to think about it. Image you trying to take down someone with a pistol who ways about 100 lbs more than you and an 1inch taller. Trayvon must of been a black belt or something because I don't see that happening. Forget about race. that's all I'm saying. (created at:2012-04-04 08:20:41),non-cyberbullying
@rayeemerson I have thought about it and notice how I still haven't given my opinion. Because I wasnt there and I do not know. Seriously I don't know who or what to believe. (created at:2012-04-04 08:26:10),non-cyberbullying
@runl1keh3ll you're right. I guess time will tell. (created at:2012-04-04 08:31:01),non-cyberbullying
@runl1keh3lI feel some n I'm saying some blacks whites Latinos whoever pump up the racism card because of other things in life they have experienced themselves & white some white people are tired of hearing everything called racism race or not it is a tragedy it IS Injustice he coulda smoked weed everyday & been into trouble at points in his teenage life as most of us have but that day he was NOT carrying a weapon he was NOT the one provoking anything Zimmerman didn't know about his past if he was a so called stranger to the neighborhood so none of that matters what matters is JUSTICE & to everyone don't be so one sided! everyone should listen to all sides of the story play devils advocate & regardless of his race something like this should not continue to go on in this country! This story may not have been because of racism but it had brought racism out from blacks & whites..... It's just sad (created at:2012-04-04 08:35:21),non-cyberbullying
Rest In Peace Trayvon I'm glad this story had brought attention to it because it is really bringing to light the sad fact that our country still has huge amounts of racism among it and it needs to STOP!! (created at:2012-04-04 08:38:16),non-cyberbullying
@sammyt76 true (created at:2012-04-04 08:42:53),non-cyberbullying
"@runl1keh3ll seriously you are another ignorant one saying Blake are more racist because of this situation.. And If that does ring true they have a right African Americans never reap the benefits of the justice system why is it taking so long to get justice for this innocent child who was minding his business and taking a walk to his stepmothers unarmed If I was black I would be angry as well it takes America so long to respond when something happens in the black community but guarantee if it was a white child things would have played out a lot differently and it's sad that this nation is like this and I wish race didn't matter but this is the way America is ""the land of the free"" (yeah right) (created at:2012-04-04 08:57:39)",non-cyberbullying
What happened? :o (created at:2012-04-04 10:42:01),non-cyberbullying
"@teacudi is just saying things that aren't true, and she can barely put together coherent sentences. Learn to spell before you type a bunch of bullshit. He wasn't in a gang. He committed no crimes, and even if he did it has nothing to do with the case because Zimmerman didn't know that. Please sit down and shut the fuck up. Dumb broad. (created at:2012-04-04 11:31:52)",non-cyberbullying
@andreaschoice delete this pic... Everyone is fighting. (created at:2012-04-04 11:34:56),non-cyberbullying
"@teacudi what is ""a gangster""? Does someone look like a gangster or have To commit a certain sort of act to be one? Assuming that ""a gangster"" I'd some sort of sinister looking person, an that Trayvon had been ""a gangster"" does that mean that he had no right to freely walk through the streets of America? (created at:2012-04-04 11:44:42)",non-cyberbullying
"That article is such bullshit. Did you hear the actual call Zimmerman made to the police? Did you see the picture of Zimmerman gashed in the head? Take this shit down,@andreaschoice, you aren't a political moderator. (created at:2012-04-04 11:52:14)",non-cyberbullying
"Lol you guys are sooo immature #1 its andreas instagram. She can post whatever she wants so dont tell her to take nothing down if you guys have a problem, GUESS WHAT ! Theres an unfollow button. #2 you guys arent forensics, fbi, investigators nothing but immature twits so leave your comments about this case to yourself if all youre gonna do is cause drama on her instagram ! (created at:2012-04-04 11:57:29)",non-cyberbullying
"@andreaschoice, you're amazing but putting this photo up is causing people on instagram to argue, and this is not what it's about (created at:2012-04-04 12:00:39)",non-cyberbullying
"@clabro please expound on all these whites being killed by non-whites...I think you are mistaken and assuming that people of color are preying on whites when by an large, white people exist in such rarified air that they don't even have to encounter people of color. (created at:2012-04-04 12:06:08)",non-cyberbullying
@teacudi is talking out of her ass and it's very sad. Poor thing. (created at:2012-04-04 12:13:06),non-cyberbullying
"@teacudi you can't state ""facts"" and then say they are your opinions when their veracity is called into question. The facts must be objective-they aren't open to interpretation. You can formulate opinions on secondary matters based on the facts, but you simply cannot declare your own facts. (created at:2012-04-04 12:17:15)",non-cyberbullying
"@mikaylabeee there are other articles one can read, in actual news magazines and what's wrong with a common person stating her opinion on an occurrence in her own country? Why must one be a political moderator to have an opinion? As citizens it is our RESPONSIBILITY to have an opinion and be informed. (created at:2012-04-04 12:23:14)",non-cyberbullying
"@butterflyiing instagram is a social network- created so that people can communicate with one another. Unfortunately, not every communication will be pleasant. We have to face reality from time to time, even when all we want to do is have fun. (created at:2012-04-04 12:25:46)",non-cyberbullying
Everyone needs to go on YouTube and listen to all 4 of the different 911 calls! That boy was yelling HELP! And soon as that women got on the phone with the police u could hear him yelling and I'm pretty sure he was yelling help before that as well. If Zimmerman felt SOOO threatened by a that boy why would he follow him and when he was yelling for help why the hell would Zimmer still feel threatened by someone yelling help! Trayvon yelled for help because he really wanted someone to HELP him.Come on now. Zimmerman may not have to face justice here but he will be judge by God!!!! Never forget that! (created at:2012-04-04 12:29:55),non-cyberbullying
Gangster or not it was wrong.... Wasn't Zimmerman a neighborhood watch man? I feel if he thought Trayvon was doing something wrong he should have called the cops not took matters in his own hands so for that yes he needs to be in jail.... No matter what race either of them are it was wrong for what he did. That's just my opinion. (created at:2012-04-04 12:30:02),non-cyberbullying
"How can y'all tell her to take this pic down??? This is her page and she is expressing her condolences. People stating opinions is a debate... Not an argument. And those who are getting out of hand can't be pinned on Andrea. You don't want to see the debate, click on another picture. Simple!! (created at:2012-04-04 12:46:56)",non-cyberbullying
A tragedy indeed. ____ (created at:2012-04-04 12:57:07),non-cyberbullying
"Firstly, people get shot all the time! White, black, hispanic, asian whatever! Why not shout about that too?? Secondly. Trayvon wasnt an A grade student he had been expelled several times from school for bad behaviour and bringing drugs into school. He was a 6""3 kid and zimmerman was only 5""8 they had a struggle and trayvon was on top of zimmerman. There are witnesses of all races willing to testify in court. I dont understand why people are acting like zimmer came round a corner and shot trayvon ___Š. My final point is.. That everyone should do theyre own reseach instead of just feeding off the media and theyre version of events. Lets not forget media have their own reasons for their spin (to sell) its generally a rule of thumb.. If the government and the media start pushing something this much.. Get yourself on the internet and do your own RESEARCH!! (created at:2012-04-04 13:00:22)",non-cyberbullying
Oh and that was everything i know so far! You americans have the right to have arms its in your second amendment. I dont think you should give that up just cos someone stupid misused theirs! Dont be so eager to give up your rights cos ur government will end up taking em all.. Just saying ____ end of rant: Breezey out (created at:2012-04-04 13:03:24),non-cyberbullying
Has anyone noticed that this #trayvon business looks like the beginning of what could be a race war? (created at:2012-04-04 13:05:53),non-cyberbullying
"@breezeybeee I agree with you 100%. People lack to really inform themselves. The media are definitely criminals in this case with the way they portray things. It's okay to fight for something people, just know what you're talking about first. (created at:2012-04-04 13:16:04)",non-cyberbullying
@teacudi where did you get this info from? Do you even know what you are talking abt? (created at:2012-04-04 13:18:31),non-cyberbullying
@bri008 agreed.... None of this wouldnt have happen if he didnt follow him and thats it... What type of kid he was has nothing absolutely nothing to do with him losing his life...@breezeybeee ur making no sense so keep the dumb comments to urself.. Like ur bringing up height and what he did in school.. Obviously u either dont have kids or really dont see whats really going on.. It is a race war.. If someone outs u because ur black yea its a race thing.. He had no right to approach him no right at all.. Answer me this someone following u u wouldnt ask them what the hell theyre problem is??? Or defend urself.. I know if its someone i dont know tries to attack me the first thing im going to think is theyre either trying to kill me or harm me in someway... (created at:2012-04-04 13:24:59),non-cyberbullying
He defended himself... Zimmerman was just a bitch and let a teenager kick his ass when he should have stayed in his damn car like he was told... (created at:2012-04-04 13:26:43),cyberbullying
"The guy is carrying candy, Arizona, and he's on the phone with his girlfriend, i don't see why e has to be killed! Zimmerman should be rotting in hell for that! UGH! I hate racist people, I just wanna slap them so hard that they're head falls off! Self defense my ASS (created at:2012-04-04 13:32:47)",non-cyberbullying
Fuck this bitch of Zimmerman he gonna burn to hell (created at:2012-04-04 13:35:42),non-cyberbullying
"@teacudi just cause you start off saying ""I'm not racist...BUT"" then proceed to make an ignorant racist comment that is backed by opinion and not proof. Sorry hun that makes you racist. White people aren't the only people who can be deemed racist. #andsoyouknow (created at:2012-04-04 13:45:55)",non-cyberbullying
Don't believe what the media tells u. They are bias. I'm not on anyone's side but know the facts first before u speak and what the media tells and shows are not facts. (created at:2012-04-04 13:54:34),non-cyberbullying
"@teacudi regardless of the mistakes he made he still didn't deserve to get harassed and killed for not doing another. While you are reading up on his background, read up on the background of the man who killed him. He has done many crime and since his father is a judge got off on them. (created at:2012-04-04 13:55:46)",non-cyberbullying
"@breezeybeee well people are getting the information from the media unless they gave access to government and official files which wont be the cases since this incident is still being investigated. What ever Trayvon did before the night he got shot is irrelevant, whatever Zimmerman did before that night is irrelevant. Facts are u armed teenager walking home, watchmen saw suspicious male followed him there was a fight and the teenager (unarmed) was shot. Now here is where the controversy comes in: nobody was arrested and substantial evidence was not collected for Zimmerman to prove self defense and or trayvon's family has a chance to a FAIR trial. Maybe Zimmerman would prove his claim or may trayvon's family wouldn't feel so jilted by the justice system because their was at least a trial. I'm in my 20s and hearing what my fellow young people have to say about this is disheartening and worry sum. Our culture completely lacks empathy and were going to be in some trouble in the future if the young thinks like the old and not progressive. (created at:2012-04-04 14:02:14)",non-cyberbullying
Check me out girls. (created at:2012-04-04 14:16:24),non-cyberbullying
Amen @gleefullykinky and @lekia! I am seriously shaking my head to those making comments that just bc he wasn't an A student means he should die. Where did you get that info? According to his mother he was a decent student. Even if he was suspended so what. He wasn't doing anything wrong that night but minding his business... (created at:2012-04-04 14:21:50),non-cyberbullying
Who cares if Trayvon was no A student do you people know how many non A students we have in this country and how many people have gotten in I trouble in school that has nothing to do with what happened the night he was killed. Zimmerman was charged with harassment before. Zimmerman is 28 and trayvon just turned 17 almost a month ago!!!!!! Zimmerman should be punished he was in the wrong if never followed him none of this wouldn't have happened period point blank!!!!!!! Thank you!!! (created at:2012-04-04 15:07:03),non-cyberbullying
"@lawanticious I agree with your statement, just hating on reality now :) what can I say, I'm a dreamer. (created at:2012-04-04 15:16:46)",non-cyberbullying
Zimmerman was the one looking for trouble and he found it. This could have all been avoided.? I mean if Zimmerman followed police orders to not follow Trayvon. So please don't try to make him out to be the victim here. (created at:2012-04-04 15:34:49),non-cyberbullying
"@andreaschoice thanks for bring this up to discussion to your audience. Not everything is about the 'best way to put on concealer' or 'summer haul' (though I love your channel). Shedding light on current events may help our ""self-indulgent"" society be involved and aware. Thanks for that. (created at:2012-04-04 16:07:37)",non-cyberbullying
Very sad @andreaschoice (created at:2012-04-04 16:17:21),non-cyberbullying
I agree with @gleefullykinky . @andreaschoice has a right to post this pic and I appreciate it as well. My thoughts on this: (created at:2012-04-04 16:26:43),non-cyberbullying
"1) A person of ANY race can be racist. Period. 2) PLEASE stop comparing other cases where a suspect or suspects WERE arrested to this one. Just a tiiiny bit of critical thinking will tell you that the outrage and the difference in THIS case is that no one was arrested. Apples and oranges, people. (created at:2012-04-04 16:30:49)",non-cyberbullying
"3) It doesn't matter if Trayvon got straight F's, had 17 baby mommas, got high every day, and dropped kittens off high buildings. He was minding his own business and he was UNARMED. To those who have mentioned his problems in school, please take a look at yourself. I am positive you have not always done ""the right thing"". In your parent's eyes, your God's eyes, society's eyes. Does that mean that your death maybe is ok? Does that mean that you deserved it? Come on. I'm done commenting but please, people...the REAL issue here is that a child is dead and no one is being held responsible. All the other bullshit is just that...bullshit. (created at:2012-04-04 16:37:08)",non-cyberbullying
"Why are people saying he's racist .. if he was, then why did a black friend of his for like 10 yrs, steped, and said he wasnt.. That he had tons of black friends.. And that he had never made a racist remark ... but everyone believes he was paid to say that, (created at:2012-04-04 17:10:25)",non-cyberbullying
which is bull. (created at:2012-04-04 17:10:34),non-cyberbullying
"and plus i think noone knows the real story .. The ACTUAL thing that happened.. Yes people are saying he was minding his own buisness, and other eye witnesses are saying trayvon was ontop of zimmerman.. A police video of zimmerman being arrested showed he had a blow to the head. The COP even looked at it. They cleaned him up before that so thats why he was bleeding as bad. (created at:2012-04-04 17:15:41)",non-cyberbullying
wasnt* (created at:2012-04-04 17:16:05),non-cyberbullying
@monie120 preeeeach! So true. & so sad ____ (created at:2012-04-04 17:23:16),non-cyberbullying
@breezeybeee thank you finally someone with some common sense. I believe the media is trying to start a race war as well. Even the president had to jump in and make racist hate inspiring remarks. (created at:2012-04-04 17:24:41),non-cyberbullying
"@jojo1192 you're calling me ignorant because I'm suspending judgment until more facts and evidence are presented? I think you need to look up the word in the dictionary. While you're there look up ""assumptions"" and ""bias"". (created at:2012-04-04 17:26:51)",non-cyberbullying
"@breezeybeee yes, very much agree with that also. (created at:2012-04-04 17:32:59)",non-cyberbullying
@breezeybeee __”¥ well said. Ppl need to stop talking and stating facts as if they saw what happen! (created at:2012-04-04 18:40:35),non-cyberbullying
I cannot believe ppl are actually arguing on someones photo. #rude #riptrayvon (created at:2012-04-04 19:53:53),non-cyberbullying
What happened (created at:2012-04-04 20:31:15),non-cyberbullying
To him (created at:2012-04-04 20:31:18),non-cyberbullying
"AT THE END OF THE DAY, SOMEONE GOT KILLED!! IT'S NOT ABOUT RACE, THE PAST OR ANYTHING OF THAT MATTER, IT IS ON NO ONES HANDS TO DECIDE WHO DIES, THERE FOR JUSTICE MUST BE MADE. IT ISN'T FAIR FOR A 17 YEAR OLDS LIFE TO BE CUT SHORT. PRAYERS TO THE FAMILY. NO ONE WANTS TO BURRY THEIR SON OR DAUGHTER. (created at:2012-04-04 23:21:42)",non-cyberbullying
@teacudi where did you see hate in my comment? what upper hand am I trying to gain from you? If you apologize than good. I didn't read all of the comments bc there were two many. I didn't say anything abt race to go (created at:2012-04-04 23:41:35),non-cyberbullying
